Tue May 10 17:22:06 2016 ------- Test Case r009.pl.pl Started -------
*** 2016-05-10 17:25:30 'r009.pl' 397 - write2CommandLine "STEP BACK 4 AUTO" Passed ***
*** 2016-05-10 17:25:30 'r009.pl' 398 - findStringOnPanel "''''''   03 BACK_FLAG                       CHAR(1)" Passed ***
*** 2016-05-10 17:25:30 'r009.pl' 399 - findStringOnPanel "''''''        VALUE > Y <" Passed ***
*** 2016-05-10 17:25:30 'r009.pl' 400 - findStringOnPanel "BKTR=>       IF RETURN_CODE > 4096 THEN" Passed ***
*** 2016-05-10 17:25:30 'r009.pl' 403 - write2CommandLine "SET BACKTRACK OFF;RUN" Passed ***
*** 2016-05-10 17:25:33 'r009.pl' 405 - findStringOnPanel ">>>>>>    NOSOURCE_DEMO: PROC;                  /* PAUSE HERE */" Passed ***
*** 2016-05-10 17:25:33 'r009.pl' 408 - write2CommandLine "RESET KEEP" Passed ***
*** 2016-05-10 17:25:34 'r009.pl' 412 - write2CommandLine "SET ASMVIEW ON" Passed ***
*** 2016-05-10 17:25:34 'r009.pl' 413 - findStringOnPanel "ASMVIEW ON" Passed ***
*** 2016-05-10 17:25:34 'r009.pl' 414 - findStringOnPanel ">>>>>>    NOSOURCE_DEMO: PROC;                  /* PAUSE HERE */" Passed ***
*** 2016-05-10 17:25:34 'r009.pl' 417 - write2CommandLine "LIST TAILOR" Passed ***
*** 2016-05-10 17:25:34 'r009.pl' 419 - pressKey "[HOME]" Passed ***
*** 2016-05-10 17:25:34 'r009.pl' 421 - pressKeys: YESYES Passed ***
*** 2016-05-10 17:25:34 'r009.pl' 422 - pressKeys: YESYES Passed ***
*** 2016-05-10 17:25:34 'r009.pl' 423 - pressKeys: YESNO  Passed ***
*** 2016-05-10 17:25:34 'r009.pl' 424 - pressKeys: YESYES Passed ***
*** 2016-05-10 17:25:34 'r009.pl' 425 - pressKey "[ENTER]" Passed ***
*** 2016-05-10 17:25:34 'r009.pl' 426 - verifyPanel ListTailoring2.txt Passed ***
*** 2016-05-10 17:25:34 'r009.pl' 427 - pressKey "[F3]" Passed ***
*** 2016-05-10 17:25:34 'r009.pl' 430 - write2CommandLine "RUN" Passed ***
*** 2016-05-10 17:25:37 'r009.pl' 432 - findStringOnPanel "VIACPLI.VIACBR14" Passed ***
*** 2016-05-10 17:25:37 'r009.pl' 433 - findStringOnPanel "BREAK ON ENTRY TO A PROGRAM" Passed ***
*** 2016-05-10 17:25:39 'r009.pl' 436 - write2CommandLine "STEP 2 AUTO" Passed ***
*** 2016-05-10 17:25:39 'r009.pl' 437 - findStringOnPanel ">>>>>>    END NOSOURCE_DEMO" Passed ***
*** 2016-05-10 17:25:39 'r009.pl' 438 - findStringOnPanel "ASG2163I STEP 2 OF 2 EXECUTED." Passed ***
*** 2016-05-10 17:25:39 'r009.pl' 442 - write2CommandLine "SET ASMVIEW OFF;RUN" Passed ***
*** 2016-05-10 17:25:42 'r009.pl' 444 - findStringOnPanel ">>>>>>    LOOP_DEMO: PROC;                      /* PAUSE HERE */" Passed ***
*** 2016-05-10 17:25:42 'r009.pl' 447 - write2CommandLine "LIST TAILOR" Passed ***
*** 2016-05-10 17:25:42 'r009.pl' 451 - pressKey "[F3]" Passed ***
*** 2016-05-10 17:25:42 'r009.pl' 452 - findStringOnPanel ">>>>>>    LOOP_DEMO: PROC;                      /* PAUSE HERE */" Passed ***
*** 2016-05-10 17:25:42 'r009.pl' 455 - write2CommandLine "LIST COUNTS DESCENDING" Passed ***
*** 2016-05-10 17:25:42 'r009.pl' 456 - findStringOnPanel "SORTED DESCENDING " Passed ***
*** 2016-05-10 17:25:43 'r009.pl' 459 - write2CommandLine "LIST COUNTS ASCENDING" Passed ***
*** 2016-05-10 17:25:43 'r009.pl' 460 - findStringOnPanel "SORTED ASCENDING " Passed ***
*** 2016-05-10 17:25:43 'r009.pl' 463 - write2CommandLine "LIST COUNTS DESCENDING LABEL" Passed ***
*** 2016-05-10 17:25:43 'r009.pl' 464 - findStringOnPanel "LABELS SORTED BY DESCENDING COUNT" Passed ***
*** 2016-05-10 17:25:43 'r009.pl' 467 - write2CommandLine "LIST COUNTS LINE" Passed ***
*** 2016-05-10 17:25:43 'r009.pl' 468 - findStringOnPanel "SORTED BY LINE" Passed ***
*** 2016-05-10 17:25:43 'r009.pl' 469 - pressKey "[F3]" Passed ***
*** 2016-05-10 17:25:43 'r009.pl' 472 - write2CommandLine "RUN" Passed ***
*** 2016-05-10 17:25:54 'r009.pl' 476 - write2CommandLine "9" Passed ***
*** 2016-05-10 17:25:54 'r009.pl' 477 - findStringOnPanel ">>>>>>  VIACPLI" Passed ***
*** 2016-05-10 17:25:55 'r009.pl' 480 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:26:00 'r009.pl' 482 - findStringOnPanel ">>>>>>       PGMID      = 'VIACCOB2';           /* PAUSE HERE */" Passed ***
*** 2016-05-10 17:26:00 'r009.pl' 485 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:26:05 'r009.pl' 487 - findStringOnPanel "VIACCOB2.VIACCOB2" Passed ***
*** 2016-05-10 17:26:05 'r009.pl' 491 - write2CommandLine "BREAK BEFORE PAUSE ALL;RUN" Passed ***
*** 2016-05-10 17:26:08 'r009.pl' 493 - findStringOnPanel ">>>>>> 018700     MOVE +49 TO MAX-COUNTER" Passed ***
*** 2016-05-10 17:26:08 'r009.pl' 496 - write2CommandLine "LIST LIMITS" Passed ***
*** 2016-05-10 17:26:08 'r009.pl' 498 - findStringOnPanel "Storage protection YES" Passed ***
*** 2016-05-10 17:26:09 'r009.pl' 499 - pressKey "[F3]" Passed ***
*** 2016-05-10 17:26:09 'r009.pl' 502 - write2CommandLine "RUN" Passed ***
*** 2016-05-10 17:26:12 'r009.pl' 505 - write2CommandLine "GO TO SVFIX;RUN" Passed ***
*** 2016-05-10 17:26:13 'r009.pl' 508 - write2CommandLine "10" Passed ***
*** 2016-05-10 17:26:16 'r009.pl' 510 - findStringOnPanel "Program View" Passed ***
*** 2016-05-10 17:26:16 'r009.pl' 511 - findStringOnPanel ">>>>>>  VIACPLI" Passed ***
*** 2016-05-10 17:26:16 'r009.pl' 514 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:26:21 'r009.pl' 516 - findStringOnPanel ">>>>>>       PGMID      = 'VIACCOB2';           /* PAUSE HERE */" Passed ***
*** 2016-05-10 17:26:21 'r009.pl' 519 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:26:26 'r009.pl' 521 - findStringOnPanel ">>>>>> 012900 PROCEDURE DIVISION" Passed ***
*** 2016-05-10 17:26:26 'r009.pl' 522 - findStringOnPanel "BREAK ON ENTRY TO A PROGRAM" Passed ***
*** 2016-05-10 17:26:27 'r009.pl' 525 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:26:32 'r009.pl' 526 - findStringOnPanel ">>>>>> 023800     EXEC CICS GETMAIN SET(ADDRESS OF BLL1-DATA)" Passed ***
*** 2016-05-10 17:26:32 'r009.pl' 529 - write2CommandLine "10" Passed ***
*** 2016-05-10 17:26:32 'r009.pl' 530 - pressKey "[F8]" Passed ***
*** 2016-05-10 17:26:32 'r009.pl' 535 - pressKeys: I Passed ***
*** 2016-05-10 17:26:32 'r009.pl' 536 - pressKey "[ENTER]" Passed ***
*** 2016-05-10 17:26:32 'r009.pl' 539 - pressKeys:       MOVE 'YES' TO MONITORING Passed ***
*** 2016-05-10 17:26:32 'r009.pl' 540 - pressKey "[ENTER]" Passed ***
*** 2016-05-10 17:26:32 'r009.pl' 543 - write2CommandLine "RUN" Passed ***
*** 2016-05-10 17:26:35 'r009.pl' 545 - findStringOnPanel ">>>>>> 025900        EXEC CICS FREEMAIN" Passed ***
*** 2016-05-10 17:26:35 'r009.pl' 546 - findStringOnPanel "INVALID FREEMAIN" Passed ***
*** 2016-05-10 17:26:35 'r009.pl' 549 - write2CommandLine "GO FMEXIT;RUN" Passed ***
*** 2016-05-10 17:26:40 'r009.pl' 553 - write2CommandLine "11" Passed ***
*** 2016-05-10 17:26:40 'r009.pl' 554 - findStringOnPanel "BREAK AT START OF TEST SESSION        " Passed ***
*** 2016-05-10 17:26:40 'r009.pl' 555 - findStringOnPanel ">>>>>>  VIACPLI" Passed ***
*** 2016-05-10 17:26:40 'r009.pl' 558 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:26:45 'r009.pl' 559 - findStringOnPanel ">>>>>>       PGMID      = 'VIACCOB2';           /* PAUSE HERE */" Passed ***
*** 2016-05-10 17:26:45 'r009.pl' 562 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:26:50 'r009.pl' 565 - pressKey "[f4]" Passed ***
*** 2016-05-10 17:26:55 'r009.pl' 567 - findStringOnPanel ">>>>>> 027400     MOVE +1001 TO MAX-COUNTER" Passed ***
*** 2016-05-10 17:26:55 'r009.pl' 570 - write2CommandLine "LIST LIMITS" Passed ***
*** 2016-05-10 17:26:55 'r009.pl' 574 - findStringOnPanel "Maximum calls  . . 1000" Passed ***
*** 2016-05-10 17:26:55 'r009.pl' 576 - pressKey "[F3]" Passed ***
*** 2016-05-10 17:26:56 'r009.pl' 579 - write2CommandLine "RUN" Passed ***
*** 2016-05-10 17:26:59 'r009.pl' 581 - findStringOnPanel ">>>>>> 029700     EXEC CICS ASKTIME END-EXEC.                          RETURN" Passed ***
*** 2016-05-10 17:26:59 'r009.pl' 582 - findStringOnPanel "POSSIBLE CICS CALL LOOP" Passed ***
*** 2016-05-10 17:26:59 'r009.pl' 585 - write2CommandLine "LIST LIMITS" Passed ***
*** 2016-05-10 17:26:59 'r009.pl' 589 - findStringOnPanel "Maximum calls  . . 5000" Passed ***
*** 2016-05-10 17:26:59 'r009.pl' 592 - pressKey "[F3]" Passed ***
